statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT030B40;30 bis unter 40 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81712;Physiotherapie - Fachkraft;5;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT000B30;unter 30 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81223;Med.-tech. Berufe Funktionsdiagnostik - Spezialist;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT000B30;unter 30 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82101;Altenpflege (oS) - Helfer;45;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT050B60;50 bis unter 60 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82232;Ernährungsberatung - Fachkraft;0;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT000B30;unter 30 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81213;Med.-tech. Berufe Laboratorium - Spezialist;1;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT040B50;40 bis unter 50 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81333;Operationstechnische Assistenz - Spezialist;1;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT040B50;40 bis unter 50 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-81232;Med.-tech. Berufe Radiologie - Fachkraft;5;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT040B50;40 bis unter 50 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82593;Aufsicht - Medizin-, Orthopädie- und Rehatechnik;7;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);ALT000B30;unter 30 Jahre;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-83132;Heilerziehungspflege, Sonderpädagogik - Fachkraft;1;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
23621;Gesundheitspersonalrechnung;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;ALT049;Altersgruppen (u30-60m);;Insgesamt;KB10G5;Berufe im Gesundheitswesen (KB2010), 5-Steller;KB10-82182;Altenpflege (ssT) - Fachkraft;4;1000;BES022;Gesundheitspersonal (Vollzeitäquivalente);e
